firm,role,location,status,applied_date,url,notes
AQR Capital Management,Portfolio Implementation and Trading Research,Greenwich,rejected,2026-08-20,,
Flow Traders,Quantitative Trader Intern,Amsterdam,OA completed,2026-08-10,,
IMC Trading,Quant Trading Internship,Chicago,in process,2026-08-15,,recruiter Karla Hinton
IMC Trading,Trading Internship,Amsterdam,in process,2026-08-15,,single application per cycle
Maven Securities,Emerging Talent,London,assessments,2026-08-25,,numerical + probability + Arctic Shores
Akuna Capital,Virtual Quant Trading Challenge,Chicago,accepted,2026-08-01,,competition -> expedited interviews
Voloridge Investment Management,Quantitative Research Intern,Jupiter,applied,2026-08-18,,
Morgan Stanley,Fixed Income Strats Summer Associate,New York,OA taken,2026-09-05,,likely not passed
Optiver,Career Kickstarter Programme,Chicago,attended,2026-03-01,,8-month global cooldown applies
All Options,Trading Internship,Austin,in process,2026-08-28,,recruiter Emily - no sponsorship
